log time,count,spend time
2024-01-03 10:22:46.056000,1,2.587
2024-01-03 09:49:47.613000,4,4.197
2024-01-03 10:20:38.127000,1,2.05
2024-01-03 10:20:06.354000,1,2.28
2024-01-03 10:37:34.842000,1,2.35
2024-01-03 09:49:58.666000,2,2.603
2024-01-03 10:21:24.834000,2,2.763
2024-01-03 10:42:19.327000,2,3.319
2024-01-03 10:37:54.937000,2,2.773
2024-01-03 10:42:40.895000,1,2.403
2024-01-03 09:49:57.388000,1,4.383
2024-01-03 11:27:11.969000,1,1.991
2024-01-03 11:27:13.034000,2,3.009
2024-01-03 09:49:07.351000,4,10.29
2024-01-03 10:42:38.426000,1,2.324
2024-01-03 10:43:51.284000,1,3.379
2024-01-03 09:49:12.488000,3,8.132
2024-01-03 10:21:19.586000,2,2.5
2024-01-03 10:20:19.355000,2,2.327
2024-01-03 10:20:06.675000,3,2.719
2024-01-03 09:49:57.167000,1,2.84
2024-01-03 10:43:15.392000,1,3.614
2024-01-03 10:43:35.044000,1,2.838
2024-01-03 10:37:35.687000,3,2.944
2024-01-03 10:24:30.535000,1,2.094
2024-01-03 10:20:09.158000,5,6.804
2024-01-03 10:21:08.378000,1,3.108
2024-01-03 10:42:17.066000,2,2.749
2024-01-03 10:23:47.269000,1,2.725
2024-01-03 09:49:54.927000,1,2.594
2024-01-03 10:39:09.279000,1,2.064
2024-01-03 11:27:46.044000,1,2.255
2024-01-03 10:24:31.811000,1,2.438
2024-01-03 10:23:06.472000,1,1.655
2024-01-03 09:49:34.828000,2,3.663
2024-01-03 10:22:47.031000,2,2.843
2024-01-03 09:49:57.933000,1,2.546
2024-01-03 10:42:38.661000,1,3.168
2024-01-03 10:42:50.911000,1,3.323
2024-01-03 10:37:33.644000,1,2.517
2024-01-03 10:23:06.670000,1,1.882
2024-01-03 10:23:00.455000,2,7.971
2024-01-03 10:43:00.567000,1,2.957
2024-01-03 09:49:13.893000,5,10.55
2024-01-03 10:37:55.027000,1,2.144
2024-01-03 10:37:49.679000,1,2.663
2024-01-03 10:42:20.518000,2,2.669
2024-01-03 10:42:12.659000,1,1.676
2024-01-03 10:38:38.091000,1,2.914
2024-01-03 09:49:07.442000,2,13.85
2024-01-03 10:22:48.765000,2,3.837
2024-01-03 10:20:56.887000,2,2.318
2024-01-03 10:20:43.066000,3,3.146
2024-01-03 10:37:30.532000,3,3.148
2024-01-03 10:43:39.233000,1,2.096
2024-01-03 10:24:00.027000,1,2.134
2024-01-03 09:49:11.965000,1,3.32
2024-01-03 11:26:56.154000,1,1.925
2024-01-03 10:24:06.475000,1,3.434
2024-01-03 10:20:38.771000,3,2.421
2024-01-03 10:20:55.714000,2,3.019
2024-01-03 10:24:07.330000,1,1.69
2024-01-03 10:42:37.676000,3,3.348
2024-01-03 09:49:26.252000,2,8.387
2024-01-03 09:48:56.254000,5,18.01
2024-01-03 10:42:17.172000,1,1.822
2024-01-03 10:23:19.125000,1,3.927
2024-01-03 10:43:33.755000,1,2.556
